Richard Linklater
Mike Leigh
Jafar Panahi
Jean-Pierre Dardenne
The Coen Brothers
Hirokazu Koreeda
Steven Spielberg
Martin Scorsese
Pedro Almodavar
Werner Herzog
Paul Thomas Anderson
Michael Haneke
Clint Eastwood
Steven Soderbergh
Olivier Assayas
Peter Jackson
David O. Russell
Spike Lee
Quentin Tarantino
Michael Winterbottom
Alex Gibney
Stephen Frears
Yimou Zhang
Jia Zhangke
Noah Baumbach
Ridley Scott
Christopher Nolan
Jonathan Demme
Wes Anderson
Guillermo del Toro
Ang Lee
Danny Boyle
David Fincher
David Cronenberg
Kevin Macdonald
Errol Morris
Kar-Wai Wong
Jim Jarmusch
Paul Greengrass
Robert Altman
Alejandro Gonzalez Inarritu
Ron Howard
Andre Techine
Denis Villeneuve
Francois Ozon
Ken Loach
Woody Allen
Fatih Akin
Catherine Breillat
Claire Denis
Roger Michell
Bruno Dumont
Nicolas Winding Refn
Tim Burton
Claude Chabrol
David Gordon Green
Michel Gondry
Roman Polanski
Chan-wook Park
Ki-duk Kim
Kirby Dick
Michael Apted
Robert Zemeckis
Michael Mann
Terrence Malick
Darren Aronofsky
David Mamet
Susanne Bier
Kiyoshi Kurosawa
Liz Garbus
Todd Solondz
Jon Favreau
Sam Raimi
Neil Jordan
John Madden
Johnnie To
Lars von Trier
Bryan Singer
David Yates
James Mangold
Michael Almereyda
Shane Meadows
Jean-Pierre Jeunet
Raymond De Felitta
Ben Wheatley
Doug Liman
Walter Salles
Ulrich Seidl
Carl Franklin
David Mackenzie
Alastair Fothergill
Anne Fontaine
Lone Scherfig
Sam Mendes
Bill Condon
Jason Reitman
Mike Newell
Patrice Leconte
Curtis Hanson
Michael Moore
